date	close	index
20-May-11	335.22	2
19-May-11	340.53	2
18-May-11	339.87	2
17-May-11	336.14	3
16-May-11	333.3	1
13-May-11	340.5	2
12-May-11	346.57	2
11-May-11	347.23	1
10-May-11	349.45	2
9-May-11	347.6	1
6-May-11	346.66	1
5-May-11	346.75	1
4-May-11	349.57	3
3-May-11	348.2	1
2-May-11	346.28	3
29-Apr-11	350.13	3
28-Apr-11	346.75	2
27-Apr-11	350.15	2
26-Apr-11	350.42	1
25-Apr-11	353.01	2
21-Apr-11	350.7	1
20-Apr-11	342.41	3
19-Apr-11	337.86	1
18-Apr-11	331.85	2
15-Apr-11	327.46	2
14-Apr-11	332.42	2
13-Apr-11	336.13	2
12-Apr-11	332.4	2
11-Apr-11	330.8	3
8-Apr-11	335.06	3
7-Apr-11	338.08	1
6-Apr-11	338.04	1
5-Apr-11	338.89	2
4-Apr-11	341.19	1
1-Apr-11	344.56	3
31-Mar-11	348.51	2
30-Mar-11	348.63	3
29-Mar-11	350.96	3
28-Mar-11	350.44	1
25-Mar-11	351.54	1
24-Mar-11	344.97	2
23-Mar-11	339.19	3
22-Mar-11	341.2	1
21-Mar-11	339.3	2
18-Mar-11	330.67	1
17-Mar-11	334.64	2
16-Mar-11	330.01	1
15-Mar-11	345.43	3
14-Mar-11	353.56	2
11-Mar-11	351.99	2
10-Mar-11	346.67	2
9-Mar-11	352.47	3
8-Mar-11	355.76	3
7-Mar-11	355.36	1
4-Mar-11	360.0	3
3-Mar-11	359.56	3
2-Mar-11	352.12	2
1-Mar-11	349.31	1
28-Feb-11	353.21	1
25-Feb-11	348.16	1
24-Feb-11	342.88	1
23-Feb-11	342.62	2
22-Feb-11	338.61	1
18-Feb-11	350.56	2
17-Feb-11	358.3	2
16-Feb-11	363.13	2
15-Feb-11	359.9	3
14-Feb-11	359.18	3
11-Feb-11	356.85	3
10-Feb-11	354.54	3
9-Feb-11	358.16	2
8-Feb-11	355.2	2
7-Feb-11	351.88	2
4-Feb-11	346.5	3
3-Feb-11	343.44	3
2-Feb-11	344.32	2
1-Feb-11	345.03	3
31-Jan-11	339.32	2
28-Jan-11	336.1	3
27-Jan-11	343.21	1
26-Jan-11	343.85	3
25-Jan-11	341.4	2
24-Jan-11	337.45	3
21-Jan-11	326.72	1
20-Jan-11	332.68	3
19-Jan-11	338.84	2
18-Jan-11	340.65	2
14-Jan-11	348.48	3
13-Jan-11	345.68	1
12-Jan-11	344.42	1
